Year, Ports
2011,1
2012,3
2013,7
2014,14
2015,35
2016,69
2017,139
2018,277
2019,395
2020,520
2021,647
2022,773
2023,907
2024,1019
2025,1130
2026,1219
2027,1301
2028,1390
2029,1487
2030,1584
2031,1728
2032,1836
2033,1943
2034,2050
2035,2157
2036,2265
2037,2372
2038,2479
2039,2586
2040,2694
