Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
Utility Bills,41821145.81379557,50497578.360828705,59179800.9261595,67971015.30825506,76688748.80152553,85232557.63202722,136364400.51647922,187488773.03550225,238945047.92972896,290700751.20018375,377017337.16113836,371338767.3465597,362638248.0650244,353953735.4854024,345898512.68390626,337818076.7203907,327191491.0407325,276027951.68471026,225086282.43124813,174162437.30507293
Utility Bills (res),35664984.162568666,43067516.57874513,50472455.4843037,57859026.905270375,65259335.45718554,72686300.6306131,116295927.97218041,159902238.9417916,203462404.88764247,246985858.24882418,322556164.62900287,318328758.2998368,310913328.70854694,303513243.6220255,296058880.12951404,288619062.7643562,280647205.38815457,237061130.01752383,193489568.6411419,149924388.53414696
Utility Bills (work),3766945.0712296404,4546469.914276009,5327284.456526805,6239646.074656257,7061812.947682268,7675945.364517758,12279031.31419092,16880256.312085964,21865577.370613858,27199124.04609511,33662085.34007034,32503582.2905486,31719579.905000795,30922383.68309135,30803120.737245932,30647477.095366158,28680155.080078308,23974263.766141567,19365506.395565543,14759693.199916244
Utility Bills (pub L2),1023613.4637861997,1235491.8110938324,1448117.1410167336,1661803.6785642717,1874832.2747498779,2086461.3458717784,3337229.938779032,4587167.3707244275,5842182.552804746,7099927.333958031,9033797.760372637,8901544.646110918,8686933.149886804,8476743.986031998,8281168.141165838,8083780.230059397,7847175.278333668,6605434.941913734,5366260.113689553,4130147.073456648
Utility Bills (DCFC),1365603.1162110583,1648100.0567137348,1931943.8443122653,2210538.6497641546,2492768.121907845,2783850.2910245806,4452211.2913288595,6119110.410900286,7774883.118667879,9415841.57130642,11765289.431692494,11604882.110063395,11318406.301589817,11041364.194253586,10755343.675980428,10467756.63060892,10016955.294165945,8387122.959131109,6864947.280851127,5348208.497553087
Incremental upfront vehicle cost,20081279.49502772,25099140.3647866,15035916.349112656,7517912.393923541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost,22275038.445871297,39039443.42702625,39075251.28408612,39111166.56471722,39147189.59119019,39183320.68674264,231009268.65968204,231223365.21632776,231438104.0626434,231653487.125498,238872411.96274185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (res),11503941.048938887,20159959.454548724,20176489.925435815,20193069.987735588,20209699.790222257,20226379.482116424,119235040.72400688,119333877.04617889,119433009.87731743,119532440.10694937,122865011.13063999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (work L2),4628690.085347466,8109547.380496548,8114241.217908932,8118949.136833564,8123671.179514964,8128407.388324409,47905556.00805133,47933620.64274216,47961769.47133704,47990002.74641774,48936288.34573725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (public L2),2777214.051208478,4865728.42829793,4868544.730745361,4871369.4821001375,4874202.7077089725,4877044.43299465,28743333.6048308,28760172.385645296,28777061.68280224,28794001.64785062,29361773.007442355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (DCFC),3365193.260376466,5904208.163683048,5915975.409996017,5927777.95804793,5939615.913743997,5951489.383307162,35125338.322793044,35195695.14176143,35266263.031186715,35337042.62428023,37709339.47892224,0,0,0,0,0,0,0,0,0
Avoided vehicle gasoline ($),47814080.341919675,60913899.87492235,72501851.97615951,83544937.45661649,104240891.62866493,114257139.1659307,175706336.08798862,240291093.17414507,309422828.6477494,386322837.2227336,405920651.9005176,397649736.03735244,387572757.9441259,377024328.47772986,367643949.288928,358750787.01634324,293058470.9557372,227968373.09531987,157177370.4889628,84091805.41798323
Avoided vehicle gasoline (gallons),16487613.911006784,19777240.21913063,22943624.04308845,25945632.750502013,28875593.24893765,31650177.054274432,48537661.902759284,66014036.58630359,84082290.39341016,102745435.4315781,107386415.84669778,104096789.53857394,100930405.71461612,97928397.00720255,94998436.50876692,92223852.70343013,75336367.85494529,57859993.17140098,39791739.36429438,21128594.32612644
Carbon Emissions Savings From Avoided Gasoline ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carbon Emission Costs Associated with EV Adoption ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Carbon Emission Savings Associated with EV Adoption ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle O&M Savings,1322953.220627972,3719521.2109771296,6220897.883542864,8830534.88143538,11551984.99265953,14388904.92989493,30253097.006611615,46808349.304717764,64077390.20498938,82083613.66380946,113077628.89030099,112622323.85183966,112092255.8193031,111484355.58859067,110795455.09591034,110022284.55344722,93115379.61149926,75411320.06638172,56883214.057547055,37503372.30541153
Federal EV Tax Credit,39217980.8486553,67192709.57151203,65746291.16586299,64331008.96855479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle sales,5229.06411315404,9156.126557611373,9156.126557611366,9156.126557611366,9156.126557611366,9156.12655761138,53931.0,53931.0,53931.0,53931.0,59160.06411315404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Transmission and Distribution Cost,797032.3224055563,1113100.095798256,1249282.7565140154,1391675.8415547144,1540500.8315417098,2236585.935433841,6351168.905690191,9032090.845374344,11002654.385621116,13066517.807716306,16533419.649507277,13883172.588723978,13886863.983862113,13882290.305631526,13869041.134882238,13846690.804570992,13814797.927858531,11900853.465992998,9884040.296542222,7760444.260246499
Distribution Cost,545971.2637780363,802823.96912738,877157.7671712133,954977.3581639066,1036410.5747992282,1662189.089683005,5410628.534160049,7708585.947417411,9278777.225722058,10924255.661443982,13750696.155441936,11073723.64468057,11080468.558561977,11080629.6443904,11073873.49634693,11059854.138258405,11038212.645163642,9514188.035118625,7907063.313353274,6213635.986567197
Transmission Cost,251061.05862752002,310276.12667087605,372124.98934280203,436698.48339080776,504090.25674248167,574396.8457508358,940540.3715301424,1323504.8979569324,1723877.1598990571,2142262.146272324,2782723.49406534,2809448.944043407,2806395.425300137,2801660.661241126,2795167.6385353073,2786836.6663125874,2776585.2826948888,2386665.4308743733,1976976.9831889474,1546808.2736793018
Cumulative personal light-duty EV population,44104.36721194315,53260.49376955452,62416.62032716589,71572.74688477725,80728.87344238862,89885.0,143816.0,197747.0,251678.0,305609.0,359540.0,350383.8734423886,341227.7468847772,332071.6203271658,322915.4937695544,313759.367211943,259828.36721194303,205897.36721194303,151966.36721194303,98035.36721194303
Cumulative personal light-duty LDV population,782464.0,793840.0,807580.0,818960.0,831515.0,843678.0,854272.0,866827.0,878598.0,890374.0,899002.0,887626.0,873886.0,862506.0,849951.0,837788.0,827194.0,814639.0,802868.0,791092.0
EV sales as % of total personal light-duty vehicles,0.006682817501065914,0.011533969764198545,0.011337733175179382,0.011180187747400807,0.011011378697451477,0.010852631640995,0.06313094658375787,0.06221656685820815,0.061383021586664206,0.06057117570818555
Peak Demand 5-9 PM,23.027628098519585,27.810615478478937,32.5944569050174,37.579547753027086,42.584058743812406,46.93454745460962,75.09527592737504,103.25600440014038,131.54177746722934,165.07076357521498,207.77169237210066,203.88883456297467,199.09124281791443,194.34318577144677,190.54972329966577,190.84024064907985,179.68273450883962,151.8231911200462,123.66246264728,95.50938395399372
Energy Supply Cost,10817323.490127085,13521658.246491292,15519844.520435087,17786678.317642894,20737831.692805003,25419171.808091115,43778854.26471545,64520628.43070865,87126690.99747722,110484169.95929652,151770562.22895822,153353881.6357919,154761465.08051068,155996899.8103769,157156878.82705125,158161230.45742556,159113216.48010314,138736649.16995585,117017076.94632283,93774091.8849773
Energy Cost,6515032.181510254,8675456.6226071,10349122.186181217,12619645.622876577,15402760.158345412,19576491.7414013,34437429.60692875,52827113.7842471,73441171.07078907,94396214.13209903,132409550.40435806,135305058.76970306,136757161.17361367,138046606.76083082,139176769.44751078,140137595.66516083,140858380.87440258,122750199.38823713,103315302.50210807,82556318.34340024
GHG Cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capacity Cost,4302291.308616841,4846201.623884238,5170722.334253894,5167032.69476636,5335071.534459611,5842680.066689753,9341424.657786652,11693514.646461574,13685519.926688293,16087955.827197518,19361011.824599665,18048822.866089597,18004303.906896785,17950293.049545668,17980109.37954038,18023634.792264543,18254835.605700713,15986449.78171893,13701774.44421477,11217773.541576894
