Load Profile, Charger Assignment
Del Norte_Residential_L2,Residential L2
Del Norte_Residential_MUD,Residential L2
Del Norte_Public_L2,Public L2
Del Norte_Workplace_L2,Workplace L2
Del Norte_Public_DCFC,DCFC
