year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,60608,1001.6710460788294,0,12000,12000,0,5377.16,5377.16,31.0
2020,61408,1136.404455280195,0,12000,12000,0,3840.32,3840.32,32.1
2021,62301,1372.323564224156,0,12000,12000,0,2741.24,2741.24,33.4
2022,63379,1608.2426731681169,0,12000,12000,0,1642.17,1642.17,34.7
2023,64272,1844.1617821120778,0,12000,12000,0,821.08,821.08,36.6
2024,65258,2080.080891056039,0,12000,12000,0,0.0,0.0,37.5
2025,66212,2316.0,0,12000,12000,0,0.0,0.0,39.6
2026,67044,3396.8,0,12400,12400,0,0.0,0.0,39.6
2027,68029,4477.6,0,12800,12800,0,0.0,0.0,39.5
2028,68953,5558.400000000001,0,13200,13200,0,0.0,0.0,39.4
2029,69877,6639.200000000001,0,13600,13600,0,0.0,0.0,39.3
2030,70554,7720.0,0,14000,14000,0,0.0,0.0,39.2
