Load Profile, Charger Assignment
Work_California_Residential L1_uncontrolled_load,Residential L1
Work_California_Residential L2_uncontrolled_load,Residential L2
Work_California_Residential MUD_uncontrolled_load,Residential L2
Work_California_Public L2_uncontrolled_load,Public L2
Work_California_Work_uncontrolled_load,Workplace L2
Work_California_Fast_uncontrolled_load,DCFC
