Load Profile, Charger Assignment
Yolo_Residential_L2,Residential L2
Yolo_Residential_MUD,Residential L2
Yolo_Public_L2,Public L2
Yolo_Workplace_L2,Workplace L2
Yolo_Public_DCFC,DCFC
