Year, Ports
2011,0
2012,0
2013,1
2014,1
2015,4
2016,7
2017,14
2018,28
2019,40
2020,53
2021,66
2022,78
2023,92
2024,103
2025,115
2026,124
2027,132
2028,141
2029,151
2030,161
2031,175
2032,186
2033,197
2034,208
2035,219
2036,230
2037,241
2038,252
2039,262
2040,273
