Load Profile, Charger Assignment
Calaveras_Residential_L2,Residential L2
Calaveras_Residential_MUD,Residential L2
Calaveras_Public_L2,Public L2
Calaveras_Workplace_L2,Workplace L2
Calaveras_Public_DCFC,DCFC
