Year, Ports
2011,0
2012,1
2013,1
2014,2
2015,6
2016,12
2017,23
2018,46
2019,66
2020,87
2021,108
2022,129
2023,151
2024,169
2025,188
2026,203
2027,216
2028,231
2029,247
2030,263
2031,287
2032,305
2033,323
2034,341
2035,359
2036,377
2037,394
2038,412
2039,430
2040,448
