Year, gas_price
2018,2.26864504
2019,2.31792745
2020,2.63941929
2021,2.79781887
2022,2.85183928
2023,2.89012438
2024,2.9269304
2025,2.92066594
2026,2.92154144
2027,2.94615535
2028,2.97143258
2029,2.9995454
2030,3.01440315
2031,3.05931424
2032,3.07487651
2033,3.09566706
2034,3.12849419
2035,3.14277102
2036,3.15016848
2037,3.20258106
2038,3.2149493
2039,3.23665243
2040,3.26172057
2041,3.28079205
2042,3.29630282
2043,3.30436669
2044,3.31414551
