Load Profile, Charger Assignment
HighAdoption_California_Residential L1_uncontrolled_load,Residential L1
HighAdoption_California_Residential L2_uncontrolled_load,Residential L2
HighAdoption_California_Residential MUD_uncontrolled_load,Residential L2
HighAdoption_California_Public L2_uncontrolled_load,Public L2
HighAdoption_California_Work_uncontrolled_load,Workplace L2
HighAdoption_California_Fast_uncontrolled_load,DCFC
