Year, Ports
2011,1
2012,6
2013,13
2014,25
2015,63
2016,126
2017,253
2018,506
2019,720
2020,949
2021,1179
2022,1410
2023,1654
2024,1857
2025,2060
2026,2223
2027,2372
2028,2535
2029,2711
2030,2887
2031,3151
2032,3346
2033,3542
2034,3737
2035,3933
2036,4128
2037,4324
2038,4519
2039,4715
2040,4910
