year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,388262,8333.851203321661,0,12000,12000,0,5377.16,5377.16,31.0
2020,393389,9454.826186871363,0,12000,12000,0,3840.32,3840.32,32.1
2021,399109,11417.66094949709,0,12000,12000,0,2741.24,2741.24,33.4
2022,406017,13380.495712122818,0,12000,12000,0,1642.17,1642.17,34.7
2023,411738,15343.330474748545,0,12000,12000,0,821.08,821.08,36.6
2024,418050,17306.165237374273,0,12000,12000,0,0.0,0.0,37.5
2025,424166,19269.0,0,12000,12000,0,0.0,0.0,39.6
2026,429491,28261.2,0,12400,12400,0,0.0,0.0,39.6
2027,435804,37253.4,0,12800,12800,0,0.0,0.0,39.5
2028,441722,46245.600000000006,0,13200,13200,0,0.0,0.0,39.4
2029,447642,55237.8,0,13600,13600,0,0.0,0.0,39.3
2030,451980,64230.0,0,14000,14000,0,0.0,0.0,39.2
