year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,212991,4818.487532108911,0,12000,12000,0,5377.16,5377.16,31.0
2020,215803,5466.615732416517,0,12000,12000,0,3840.32,3840.32,32.1
2021,218941,6601.492585933213,0,12000,12000,0,2741.24,2741.24,33.4
2022,222730,7736.36943944991,0,12000,12000,0,1642.17,1642.17,34.7
2023,225869,8871.246292966607,0,12000,12000,0,821.08,821.08,36.6
2024,229331,10006.123146483304,0,12000,12000,0,0.0,0.0,37.5
2025,232686,11141.0,0,12000,12000,0,0.0,0.0,39.6
2026,235608,16340.2,0,12400,12400,0,0.0,0.0,39.6
2027,239070,21539.4,0,12800,12800,0,0.0,0.0,39.5
2028,242317,26738.600000000002,0,13200,13200,0,0.0,0.0,39.4
2029,245565,31937.800000000003,0,13600,13600,0,0.0,0.0,39.3
2030,247944,37137.0,0,14000,14000,0,0.0,0.0,39.2
