Year, Ports
2011,0
2012,1
2013,2
2014,3
2015,8
2016,16
2017,31
2018,62
2019,89
2020,117
2021,145
2022,174
2023,204
2024,229
2025,254
2026,274
2027,292
2028,312
2029,334
2030,355
2031,388
2032,412
2033,436
2034,460
2035,484
2036,508
2037,532
2038,556
2039,580
2040,604
