Year, Ports
2011,1
2012,6
2013,11
2014,23
2015,56
2016,113
2017,226
2018,452
2019,644
2020,848
2021,1053
2022,1259
2023,1477
2024,1659
2025,1840
2026,1986
2027,2119
2028,2264
2029,2422
2030,2579
2031,2814
2032,2989
2033,3164
2034,3338
2035,3513
2036,3688
2037,3863
2038,4037
2039,4212
2040,4387
