year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,426995,7170.424988316457,0,12000,12000,0,5377.16,5377.16,31.0
2020,432633,8134.909095030377,0,12000,12000,0,3840.32,3840.32,32.1
2021,438923,9823.727276024301,0,12000,12000,0,2741.24,2741.24,33.4
2022,446520,11512.545457018226,0,12000,12000,0,1642.17,1642.17,34.7
2023,452812,13201.363638012152,0,12000,12000,0,821.08,821.08,36.6
2024,459754,14890.181819006077,0,12000,12000,0,0.0,0.0,37.5
2025,466479,16579.0,0,12000,12000,0,0.0,0.0,39.6
2026,472336,24316.4,0,12400,12400,0,0.0,0.0,39.6
2027,479279,32053.800000000003,0,12800,12800,0,0.0,0.0,39.5
2028,485787,39791.200000000004,0,13200,13200,0,0.0,0.0,39.4
2029,492298,47528.600000000006,0,13600,13600,0,0.0,0.0,39.3
2030,497068,55266.0,0,14000,14000,0,0.0,0.0,39.2
