Year, Ports
2011,1
2012,7
2013,14
2014,28
2015,69
2016,139
2017,278
2018,556
2019,792
2020,1043
2021,1297
2022,1550
2023,1819
2024,2042
2025,2266
2026,2445
2027,2609
2028,2787
2029,2981
2030,3175
2031,3465
2032,3680
2033,3895
2034,4110
2035,4325
2036,4540
2037,4755
2038,4970
2039,5185
2040,5400
