,Residential L1,Residential L2,Residential MUD,Work,Public L2,Fast
0,291.97040912696633,653.4000000000012,521.4000000000008,67.4410581967066,0.0,0.0
1,274.40000000000043,651.4496238371178,521.4000000000008,75.5884404762302,0.0,0.0
2,274.40000000000043,646.8000000000012,521.4000000000008,83.12520376407682,0.0,0.0
3,274.40000000000043,646.8000000000012,521.4000000000008,90.07387889411955,0.0,0.0
4,274.40000000000043,646.8000000000012,511.6628258830603,96.45699670023151,0.0,0.0
5,274.40000000000043,646.8000000000012,503.62402004888554,102.29708801628588,0.0,0.0
6,273.81903527706197,646.8000000000012,501.6000000000007,107.61668367615579,0.0,0.0
7,273.00000000000045,653.4000000000012,501.6000000000007,112.43831451371432,0.0,0.0
8,273.00000000000045,653.4000000000012,498.1137158334516,116.7845113628346,0.0,0.0
9,274.40000000000043,653.4000000000012,495.0000000000007,120.6778050573898,0.0,0.0
10,274.40000000000043,653.4000000000012,495.0000000000007,124.14072643125304,0.0,0.0
11,273.01923867111446,652.1827791922171,489.426141277692,127.19580631829747,0.0,0.0
12,273.00000000000045,646.8000000000012,488.40000000000066,129.86557555239614,0.0,150.0
13,273.00000000000045,646.8000000000012,488.40000000000066,132.17256496742223,0.0,150.0
14,273.00000000000045,637.8887265868163,488.40000000000066,134.13930539724888,0.0,70.37356097377035
15,272.23993404534326,632.3294843426601,488.40000000000066,135.7883276757492,0.0,0.0
16,271.6000000000005,627.0000000000011,488.40000000000066,137.1421626367963,0.0,0.0
17,271.6000000000005,627.0000000000011,483.19452477142977,138.22334111426335,0.0,0.0
18,271.6000000000005,620.7497006781736,478.110027157216,139.05439394202347,0.0,0.0
19,270.33479985667265,627.0000000000011,475.2000000000006,139.65785195394977,0.0,0.0
20,270.2000000000005,622.1186872560662,475.2000000000006,140.0562459839154,0.0,0.0
21,270.2000000000005,620.4000000000011,471.1923991505188,140.27210686579346,0.0,0.0
22,270.2000000000005,620.4000000000011,468.1063156368614,140.32796543345708,0.0,0.0
23,270.03782977613264,620.4000000000011,462.00000000000057,140.2463525207794,0.0,0.0
24,268.8000000000005,620.4000000000011,462.00000000000057,140.0497989616336,0.0,0.0
25,268.8000000000005,627.0000000000011,462.00000000000057,139.76083558989274,0.0,0.0
26,268.8000000000005,627.0000000000011,462.00000000000057,139.40199323943,0.0,0.0
27,268.8000000000005,621.0422780254441,460.78318540748785,138.9958027441184,0.0,0.0
28,268.8000000000005,620.4000000000011,453.0986813548606,138.5647949378312,0.0,0.0
29,268.5045622929204,620.4000000000011,455.40000000000055,138.13150065444148,0.0,0.0
30,267.40000000000055,620.4000000000011,455.3348857088622,137.71845072782233,0.0,0.0
