Attribute, Value
first_adoption_year,2011
start_year,2020
end_year,2040
analysis_year,2020
bev_annual_oandm_savings,253
phev_annual_oandm_savings,145
vehicle_lifetime,10
metrictons_CO2_per_gallon,0.0087
NOX_per_gallon,3.2e-06
PM_10_per_gallon,6.2e-07
SO2_per_gallon,0
VOC_per_gallon,0
gallons_per_ice_year,2018
gallons_per_ice,328.86
annual_gasoline,75.08138689328284
discount_rate,0.0762
inflation_rate,0.022
tax_credit,7500
PHEV_tax_credit,5153
BEV_tax_credit,7500
last_taxcredit_year,2023
public_dcfc_proportion,0.1597798
publicl2_portsperEVSE,2
homel2_makeready,1600
homel2_evse_cost,600
homel2_reduction,0.019
homel2_chrgrspermeter,1
workl2_makeready,19300
workl2_evse_cost,4600
workl2_reduction,0.019
workl2_chrgrspermeter,10
workl2_cap_per_plug,7.2
workl2_portsperEVSE,2
publicl2_makeready,19300
publicl2_evse_cost,4600
publicl2_reduction,0.019
publicl2_chrgrspermeter,10
dcfc_makeready,97400
dcfc_evse_cost,96100
dcfc_reduction,0.019
dcfc_chrgrspermeter,2
tandd_method,Simple
cost_per_incremental_kw,0
allEVload_onTandD,FALSE
pro_lite_EVSE_method,TRUE
work_EVSE_ratio,27
public_l2_EVSE_ratio,45
dcfc_EVSE_ratio,225
DCFC_cluster_size_per_upgrade,2
DCFC_distribution_upgrade_cost,21300
