Load Profile, Charger Assignment
San Luis Obispo_Residential_L2,Residential L2
San Luis Obispo_Residential_MUD,Residential L2
San Luis Obispo_Public_L2,Public L2
San Luis Obispo_Workplace_L2,Workplace L2
San Luis Obispo_Public_DCFC,DCFC
