year, ldv_population, total_population, vehicle_miles_traveled, ldv_price, new_vehicle_mpg,BEV100_population,PHEV10_population,PHEV20_population,PHEV40_population,BEV100_vmt,PHEV10_vmt,PHEV20_vmt,PHEV40_vmt
2011,274,197487,9833,0.0,0.0,191.79999999999998,27.400000000000002,27.400000000000002,27.400000000000002,9833,3244.8900000000003,4916.5,7374.75
2012,779,200234,9833,0.0,0.0,545.3,77.9,77.9,77.9,9833,3244.8900000000003,4916.5,7374.75
2013,1572,203020,9833,0.0,0.0,1100.3999999999999,157.20000000000002,157.20000000000002,157.20000000000002,9833,3244.8900000000003,4916.5,7374.75
2014,2393,205844,9833,0.0,0.0,1675.1,239.3,239.3,239.3,9833,3244.8900000000003,4916.5,7374.75
2015,2518,208708,9833,15603.57,0.0,1762.6,251.8,251.8,251.8,9833,3244.8900000000003,4916.5,7374.75
2016,2953,211611,9833,11258.79,0.0,2067.1,295.3,295.3,295.3,9833,3244.8900000000003,4916.5,7374.75
2017,3875,214555,9833,6914.0,29.9,2712.5,387.5,387.5,387.5,9833,3244.8900000000003,4916.5,7374.75
2018,6270,217540,9833,5377.16,31.0,4389.0,627.0,627.0,627.0,9833,3244.8900000000003,4916.5,7374.75
2019,6406,220566,9833,3840.32,32.1,4484.2,640.6,640.6,640.6,9833,3244.8900000000003,4916.5,7374.75
2020,8461,223479,9833,2741.24,33.4,5922.7,846.1,846.1,846.1,9833,3244.8900000000003,4916.5,7374.75
2021,10516,226728,9833,1642.17,34.7,7361.2,1051.6000000000001,1051.6000000000001,1051.6000000000001,9833,3244.8900000000003,4916.5,7374.75
2022,12571,230652,9833,821.08,36.6,8799.699999999999,1257.1000000000001,1257.1000000000001,1257.1000000000001,9833,3244.8900000000003,4916.5,7374.75
2023,14746,233903,9833,0.0,37.5,10322.199999999999,1474.6000000000001,1474.6000000000001,1474.6000000000001,9833,3244.8900000000003,4916.5,7374.75
2024,16559,237488,9833,0.0,39.6,11591.3,1655.9,1655.9,1655.9,9833,3244.8900000000003,4916.5,7374.75
2025,18372,240962,9833,0.0,39.6,12860.4,1837.2,1837.2,1837.2,9833,3244.8900000000003,4916.5,7374.75
2026,19823,243988,9833,0.0,39.5,13876.099999999999,1982.3000000000002,1982.3000000000002,1982.3000000000002,9833,3244.8900000000003,4916.5,7374.75
2027,21152,247574,9833,0.0,39.4,14806.4,2115.2000000000003,2115.2000000000003,2115.2000000000003,9833,3244.8900000000003,4916.5,7374.75
2028,22603,250936,9833,0.0,39.3,15822.099999999999,2260.3,2260.3,2260.3,9833,3244.8900000000003,4916.5,7374.75
2029,24174,254299,9833,0.0,39.2,16921.8,2417.4,2417.4,2417.4,9833,3244.8900000000003,4916.5,7374.75
2030,25746,256763,9833,0.0,39.1,18022.199999999997,2574.6000000000004,2574.6000000000004,2574.6000000000004,9833,3244.8900000000003,4916.5,7374.75
2031,28095,260335,9833,0.0,39.0,19666.5,2809.5,2809.5,2809.5,9833,3244.8900000000003,4916.5,7374.75
2032,29839,263957,9833,0.0,39.0,20887.3,2983.9,2983.9,2983.9,9833,3244.8900000000003,4916.5,7374.75
2033,31583,267629,9833,0.0,38.9,22108.1,3158.3,3158.3,3158.3,9833,3244.8900000000003,4916.5,7374.75
2034,33327,271352,9833,0.0,38.8,23328.899999999998,3332.7000000000003,3332.7000000000003,3332.7000000000003,9833,3244.8900000000003,4916.5,7374.75
2035,35070,275127,9833,0.0,38.7,24549.0,3507.0,3507.0,3507.0,9833,3244.8900000000003,4916.5,7374.75
2036,36814,278955,9833,0.0,38.6,25769.8,3681.4,3681.4,3681.4,9833,3244.8900000000003,4916.5,7374.75
2037,38558,282835,9833,0.0,38.6,26990.6,3855.8,3855.8,3855.8,9833,3244.8900000000003,4916.5,7374.75
2038,40302,286770,9833,0.0,38.5,28211.399999999998,4030.2000000000003,4030.2000000000003,4030.2000000000003,9833,3244.8900000000003,4916.5,7374.75
2039,42045,290759,9833,0.0,38.4,29431.499999999996,4204.5,4204.5,4204.5,9833,3244.8900000000003,4916.5,7374.75
2040,43789,294804,9833,0.0,0.0,30652.3,4378.900000000001,4378.900000000001,4378.900000000001,9833,3244.8900000000003,4916.5,7374.75
