Year, Ports
2011,1
2012,6
2013,12
2014,24
2015,59
2016,118
2017,236
2018,471
2019,671
2020,884
2021,1099
2022,1314
2023,1541
2024,1730
2025,1920
2026,2071
2027,2210
2028,2362
2029,2526
2030,2690
2031,2936
2032,3118
2033,3300
2034,3482
2035,3665
2036,3847
2037,4029
2038,4211
2039,4393
2040,4576
