Type,Hour,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
avg_weekday,0,3.689730593032478,4.951724635366039,6.4057679148215625,8.38659804082227,11.013597816052645,14.266444200932192,18.21236066157011,24.558619622691825,30.37438814526747,36.62328505930533,43.08212621518685,50.7746370519332,58.82097827843904,67.54690916133116,76.10134282227176,86.83336914123885,97.50700656459078,114.92634919219752,106.71287179655272,99.84008966122386,91.39334455890912,81.9789267214562,71.0093325668178,60.09653375495951,47.276234970166925,33.03185919583407,17.07232861296111
avg_weekday,1,2.726150707027844,3.6466401947390166,4.712056272795139,6.154431647975727,8.082623308968238,10.474068010680426,13.392562720136599,18.379153699062893,22.73127650896374,27.398236877972213,32.26819022735691,37.97013616506216,43.96821196382556,50.46638504947617,56.86163523604992,64.79366872341292,72.72865902037992,86.94846271809915,80.66028494744641,75.26631516230773,68.75831523710923,61.58266200781703,53.30605635026983,44.986500271205124,35.32929816705353,24.637354391875128,12.73407863338854
avg_weekday,2,2.121641053951636,2.831067339655227,3.6544736219622296,4.761133013200922,6.247961248707427,8.090225152813588,10.344674798332012,14.158521078646968,17.50231704612577,21.07951176182264,24.832451102386567,29.164742586372178,33.73341089952258,38.66904077059467,43.5451232307049,49.49320993165618,55.45660263298284,66.51498436288695,61.67260705370949,57.451471096591575,52.416822925802904,46.88617358622427,40.56041121594874,34.15429528666636,26.78373199758189,18.649838690790393,9.637105348474604
avg_weekday,3,1.613798862841897,2.144119799797883,2.7602184765118007,3.5844064235347712,4.694697975007576,6.068650535719615,7.751687083013554,10.710799307554986,13.22441128529613,15.901105393162286,18.699513541399135,21.90499822987519,25.276255064807156,28.89935580879587,32.477206927397276,36.77102169495662,41.05722110696248,49.67027324328964,45.930333617072975,42.655697107357206,38.801266946143336,34.585254297193515,29.823165384752915,25.021843948540685,19.556511725247752,13.573845186917163,6.993873806954875
avg_weekday,4,1.221865613827269,1.6175731680088425,2.0770680983899856,2.6910082024665494,3.5170904805938483,4.5371916808947494,5.78644699327265,7.972002165224834,9.84313482029741,11.829169934563552,13.884404301394515,16.24815731381416,18.719592692869853,21.366113640364727,23.98913775205552,27.086913944761083,30.172557877257976,36.56556678320047,33.86459008038979,31.53192186618632,28.746468503059827,25.663831337772113,22.171316644736795,18.64323117351299,14.604080114327223,10.161896955920662,5.250692199908386
avg_weekday,5,0.6542845787512311,0.8638253815171707,1.1291621670869803,1.4240833221898868,1.8683986130040375,2.415202301818755,3.1366422265209155,4.117909723575505,5.078049673665099,6.091439184602736,7.413910148822139,8.441213459283164,9.732898417319817,11.116162482277067,12.726527663925971,14.082030308444375,15.748043533576851,18.537428510589777,17.66129333995789,15.929542658449042,14.469728996727389,12.991404735197184,11.579471446619879,9.458163985302257,7.412870689354239,5.141418924469473,2.742871666260332
avg_weekday,6,0.47540427411170233,0.6307052165394252,0.8275918386129509,1.0502959846978255,1.384495323309176,1.7984655175706963,2.343615714610449,3.0968551623182003,3.8148582298032823,4.570954537584346,5.547894291943811,6.315476714899171,7.270094072955752,8.288607256265655,9.457317736408841,10.45834471087146,11.667428211140617,13.705922583077173,13.012210117433893,11.717928933984274,10.617086806881007,9.503750144393026,8.435621239993218,6.878360486631968,5.375360438005572,3.7177616332818095,1.9738663091112432
avg_weekday,7,0.40113959092458323,0.5350204777499726,0.7023209813566559,0.8969556556941598,1.18264944269006,1.5360991873018186,1.9956235874029562,2.6156803125698085,3.2228244095762717,3.8646421981363703,4.671063991535326,5.343859794964384,6.15941121205574,7.033586362872491,8.019791982603712,8.916245066740924,9.97016546096186,11.60383845835524,11.018045793889424,10.007981531309383,9.114036020804688,8.190267912372256,7.2699306066831095,5.9840961772938535,4.698490767441063,3.2669555865893445,1.7326398450924616
avg_weekday,8,0.4425813835453149,0.5961251951820615,0.7855747126517669,1.012694938788954,1.3390703937060586,1.743225375438459,2.262181029042862,2.929144231805508,3.615847297580066,4.349922378754858,5.250373118949687,6.06041464678586,7.0194757634831895,8.058884162002379,9.204755772732497,10.342763479818458,11.640172585649779,13.363306195450555,12.665016081827744,11.60216812400034,10.606383560406584,9.561162674910044,8.471668466368545,7.034744340771453,5.541030353786733,3.866552905189209,2.044279571777211
avg_weekday,9,0.7408136740059993,1.0015334339039224,1.3012688400755745,1.7199487121465677,2.2640159091419476,2.9387464444122524,3.749648803782339,5.0441040577576945,6.237953597518153,7.522413951653882,8.785172747050646,10.390600742064303,12.028739309322267,13.804244051590763,15.534685634368254,17.737181741571554,19.886084844853695,23.348405616239134,21.630284139254364,20.339881943926247,18.66055483292641,16.727193490849853,14.442338268005775,12.280516925713595,9.66892601782861,6.768512625628388,3.484749628471964
avg_weekday,10,0.7724642631441885,1.0457682769213021,1.3751161231044444,1.794409944791349,2.3635254668316605,3.0681236981074136,3.955103728967286,5.230016498895418,6.456786593600358,7.775145502835673,9.199741247369293,10.744836915026374,12.434727533617657,14.267003667823284,16.23438315142561,18.32348580517767,20.56120861953482,23.977286343078315,22.48333326312821,20.89157012147835,19.163717294004485,17.20593037560668,15.052470677807495,12.650886584192493,9.96550001470374,6.974741238230128,3.6424239345141274
avg_weekday,11,1.0066440070063605,1.3647940395099054,1.804284246133625,2.3462959612925878,3.0942581197128898,4.021296584519345,5.207057277994897,6.79956420087235,8.40247632149093,10.129196936815514,12.059201435746077,14.044267893366051,16.277872357819597,18.705912079717137,21.396676577441173,24.1014064604153,27.09641548583579,31.29929756739582,29.514418197288844,27.333819929326836,25.099863928824842,22.57332417990642,19.85659673004877,16.64311976021468,13.127500055938093,9.198010827946804,4.829064073186624
