year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,13568,252.14776332640653,0,12000,12000,0,5377.16,5377.16,31.0
2020,13747,286.06381581535135,0,12000,12000,0,3840.32,3840.32,32.1
2021,13947,345.4510526522811,0,12000,12000,0,2741.24,2741.24,33.4
2022,14189,404.8382894892108,0,12000,12000,0,1642.17,1642.17,34.7
2023,14389,464.22552632614054,0,12000,12000,0,821.08,821.08,36.6
2024,14609,523.6127631630702,0,12000,12000,0,0.0,0.0,37.5
2025,14823,583.0,0,12000,12000,0,0.0,0.0,39.6
2026,15009,855.0,0,12400,12400,0,0.0,0.0,39.6
2027,15230,1127.0,0,12800,12800,0,0.0,0.0,39.5
2028,15436,1399.0,0,13200,13200,0,0.0,0.0,39.4
2029,15643,1671.0,0,13600,13600,0,0.0,0.0,39.3
2030,15795,1943.0,0,14000,14000,0,0.0,0.0,39.2
