Load Profile, Charger Assignment
BaseCase_Tuolumne_Residential L1_uncontrolled_load,Residential L1
BaseCase_Tuolumne_Residential L2_uncontrolled_load,Residential L2
BaseCase_Tuolumne_Residential MUD_uncontrolled_load,Residential L2
BaseCase_Tuolumne_Public L2_uncontrolled_load,Public L2
BaseCase_Tuolumne_Work_uncontrolled_load,Workplace L2
BaseCase_Tuolumne_Fast_uncontrolled_load,DCFC
