Load Profile, Charger Assignment
Fresno_Residential_L2,Residential L2
Fresno_Residential_MUD,Residential L2
Fresno_Public_L2,Public L2
Fresno_Workplace_L2,Workplace L2
Fresno_Public_DCFC,DCFC
