year, ldv_population, total_population, vehicle_miles_traveled, ldv_price, new_vehicle_mpg,BEV100_population,PHEV10_population,PHEV20_population,PHEV40_population,BEV100_vmt,PHEV10_vmt,PHEV20_vmt,PHEV40_vmt
2011,958,691458,9833,0.0,0.0,670.5999999999999,95.80000000000001,95.80000000000001,95.80000000000001,9833,3244.8900000000003,4916.5,7374.75
2012,2729,701078,9833,0.0,0.0,1910.3,272.90000000000003,272.90000000000003,272.90000000000003,9833,3244.8900000000003,4916.5,7374.75
2013,5504,710831,9833,0.0,0.0,3852.7999999999997,550.4,550.4,550.4,9833,3244.8900000000003,4916.5,7374.75
2014,8380,720720,9833,0.0,0.0,5866.0,838.0,838.0,838.0,9833,3244.8900000000003,4916.5,7374.75
2015,8816,730746,9833,0.0,0.0,6171.2,881.6,881.6,881.6,9833,3244.8900000000003,4916.5,7374.75
2016,10341,740912,9833,15603.57,0.0,7238.7,1034.1000000000001,1034.1000000000001,1034.1000000000001,9833,3244.8900000000003,4916.5,7374.75
2017,13567,751219,9833,11258.79,0.0,9496.9,1356.7,1356.7,1356.7,9833,3244.8900000000003,4916.5,7374.75
2018,21955,761670,9833,6914.0,29.9,15368.499999999998,2195.5,2195.5,2195.5,9833,3244.8900000000003,4916.5,7374.75
2019,22430,772266,9833,5377.16,31.0,15700.999999999998,2243.0,2243.0,2243.0,9833,3244.8900000000003,4916.5,7374.75
2020,29624,782464,9833,3840.32,32.1,20736.8,2962.4,2962.4,2962.4,9833,3244.8900000000003,4916.5,7374.75
2021,36819,793840,9833,2741.24,33.4,25773.3,3681.9,3681.9,3681.9,9833,3244.8900000000003,4916.5,7374.75
2022,44013,807580,9833,1642.17,34.7,30809.1,4401.3,4401.3,4401.3,9833,3244.8900000000003,4916.5,7374.75
2023,51631,818960,9833,821.08,36.6,36141.7,5163.1,5163.1,5163.1,9833,3244.8900000000003,4916.5,7374.75
2024,57979,831515,9833,0.0,37.5,40585.299999999996,5797.900000000001,5797.900000000001,5797.900000000001,9833,3244.8900000000003,4916.5,7374.75
2025,64327,843678,9833,0.0,39.6,45028.899999999994,6432.700000000001,6432.700000000001,6432.700000000001,9833,3244.8900000000003,4916.5,7374.75
2026,69406,854272,9833,0.0,39.6,48584.2,6940.6,6940.6,6940.6,9833,3244.8900000000003,4916.5,7374.75
2027,74061,866827,9833,0.0,39.5,51842.7,7406.1,7406.1,7406.1,9833,3244.8900000000003,4916.5,7374.75
2028,79139,878598,9833,0.0,39.4,55397.299999999996,7913.900000000001,7913.900000000001,7913.900000000001,9833,3244.8900000000003,4916.5,7374.75
2029,84641,890374,9833,0.0,39.3,59248.7,8464.1,8464.1,8464.1,9833,3244.8900000000003,4916.5,7374.75
2030,90143,899002,9833,0.0,39.2,63100.1,9014.300000000001,9014.300000000001,9014.300000000001,9833,3244.8900000000003,4916.5,7374.75
2031,98370,911508,9833,0.0,39.1,68859.0,9837.0,9837.0,9837.0,9833,3244.8900000000003,4916.5,7374.75
2032,104475,924189,9833,0.0,39.0,73132.5,10447.5,10447.5,10447.5,9833,3244.8900000000003,4916.5,7374.75
2033,110580,937046,9833,0.0,39.0,77406.0,11058.0,11058.0,11058.0,9833,3244.8900000000003,4916.5,7374.75
2034,116686,950082,9833,0.0,38.9,81680.2,11668.6,11668.6,11668.6,9833,3244.8900000000003,4916.5,7374.75
2035,122791,963299,9833,0.0,38.8,85953.7,12279.1,12279.1,12279.1,9833,3244.8900000000003,4916.5,7374.75
2036,128897,976700,9833,0.0,38.7,90227.9,12889.7,12889.7,12889.7,9833,3244.8900000000003,4916.5,7374.75
2037,135002,990287,9833,0.0,38.6,94501.4,13500.2,13500.2,13500.2,9833,3244.8900000000003,4916.5,7374.75
2038,141107,1004064,9833,0.0,38.6,98774.9,14110.7,14110.7,14110.7,9833,3244.8900000000003,4916.5,7374.75
2039,147213,1018032,9833,0.0,38.5,103049.09999999999,14721.300000000001,14721.300000000001,14721.300000000001,9833,3244.8900000000003,4916.5,7374.75
2040,153318,1032194,9833,0.0,38.4,107322.59999999999,15331.800000000001,15331.800000000001,15331.800000000001,9833,3244.8900000000003,4916.5,7374.75
