Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
CO2 emissions from EVs (metric tons),4271.987428793275,5212.070211816066,6107.527374022299,7138.2865876777205,8360.36262009039,9547.467884806609,14000.237793033015,18748.092501897703,23345.85429104117,27993.82679449863,36903.198018513875,36327.27901032761,35318.84093961785,34310.40286890779,33301.964798198,32293.52672748829,31285.08865677844,26664.53059494965,22043.972533120646,17423.414471291646
NOX emissions from EVs (metric tons),0.607980881601616,0.7691502956024497,0.9075990178826198,1.0859514890007909,1.2934186563466472,1.4987850355147303,2.208609184771216,2.972082715953484,3.738628307927759,4.537652225660165,6.040490038757105,5.946153140083287,5.7809685937440225,5.615784047404778,5.450599501065529,5.285414954726306,5.12023040838708,4.363372045493169,3.606513682599259,2.849655319705352
PM 10 emissions from EVs (metric tons),0.2956514411592929,0.35726490367233826,0.4178508252321867,0.4852011304579247,0.5655543519723648,0.643125253396112,0.9417056249002554,1.2592408101402068,1.563312514041421,1.8676699146846556,2.454691291437114,2.4163913964760924,2.349328021880193,2.2822646472842774,2.2152012726883785,2.148137898092486,2.081074523496569,1.7737971356799496,1.4665197478633314,1.1592423600467052
SO2 emissions from EVs (metric tons),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOC emissions from EVs (metric tons),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
