Load Profile, Charger Assignment
BaseCase_Humboldt_Residential L1_e19controlled_load,Residential L1
BaseCase_Humboldt_Residential L2_e19controlled_load,Residential L2
BaseCase_Humboldt_Residential MUD_e19controlled_load,Residential L2
BaseCase_Humboldt_Public L2_e19controlled_load,Public L2
BaseCase_Humboldt_Work_e19controlled_load,Workplace L2
BaseCase_Humboldt_Fast_e19controlled_load,DCFC
