Year, Ports
2011,0
2012,1
2013,3
2014,5
2015,13
2016,25
2017,50
2018,101
2019,144
2020,189
2021,235
2022,281
2023,330
2024,370
2025,411
2026,443
2027,473
2028,505
2029,541
2030,576
2031,628
2032,667
2033,706
2034,745
2035,784
2036,823
2037,862
2038,901
2039,940
2040,979
