Year, Ports
2011,3
2012,15
2013,29
2014,58
2015,145
2016,291
2017,582
2018,1163
2019,1657
2020,2183
2021,2713
2022,3243
2023,3804
2024,4272
2025,4740
2026,5114
2027,5457
2028,5831
2029,6237
2030,6642
2031,7248
2032,7698
2033,8148
2034,8598
2035,9048
2036,9498
2037,9948
2038,10398
2039,10847
2040,11297
