year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,30720596.096009,648739.0,0,12000,12000,0,5377.16,5377.16,31.0
2020,31126258.2352827,736000.0,0,12000,12000,0,3840.32,3840.32,32.1
2021,31578817.210533403,888794.6,0,12000,12000,0,2741.24,2741.24,33.4
2022,32125375.9410601,1041589.2,0,12000,12000,0,1642.17,1642.17,34.7
2023,32578070.158490904,1194383.8,0,12000,12000,0,821.08,821.08,36.6
2024,33077506.6494071,1347178.4000000001,0,12000,12000,0,0.0,0.0,37.5
2025,33561364.529196195,1499973.0,0,12000,12000,0,0.0,0.0,39.6
2026,33982766.2821924,2199972.6,0,12400,12400,0,0.0,0.0,39.6
2027,34482222.093420096,2899972.2,0,12800,12800,0,0.0,0.0,39.5
2028,34950456.2813552,3599971.8000000003,0,13200,13200,0,0.0,0.0,39.4
2029,35418896.5526124,4299971.4,0,13600,13600,0,0.0,0.0,39.3
2030,35762115.4453009,4999971.0,0,14000,14000,0,0.0,0.0,39.2
