year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,33957,446.3404661283903,0,12000,12000,0,5377.16,5377.16,31.0
2020,34405,506.37711478806614,0,12000,12000,0,3840.32,3840.32,32.1
2021,34905,611.501691830453,0,12000,12000,0,2741.24,2741.24,33.4
2022,35509,716.6262688728398,0,12000,12000,0,1642.17,1642.17,34.7
2023,36010,821.7508459152266,0,12000,12000,0,821.08,821.08,36.6
2024,36562,926.8754229576134,0,12000,12000,0,0.0,0.0,37.5
2025,37097,1032.0,0,12000,12000,0,0.0,0.0,39.6
2026,37563,1514.0,0,12400,12400,0,0.0,0.0,39.6
2027,38115,1996.0,0,12800,12800,0,0.0,0.0,39.5
2028,38632,2478.0,0,13200,13200,0,0.0,0.0,39.4
2029,39150,2960.0,0,13600,13600,0,0.0,0.0,39.3
2030,39529,3442.0,0,14000,14000,0,0.0,0.0,39.2
