year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,1196744,23540.567084207516,0,12000,12000,0,5377.16,5377.16,31.0
2020,1212547,26706.976725581062,0,12000,12000,0,3840.32,3840.32,32.1
2021,1230177,32251.38138046485,0,12000,12000,0,2741.24,2741.24,33.4
2022,1251469,37795.78603534864,0,12000,12000,0,1642.17,1642.17,34.7
2023,1269104,43340.190690232426,0,12000,12000,0,821.08,821.08,36.6
2024,1288560,48884.59534511621,0,12000,12000,0,0.0,0.0,37.5
2025,1307409,54429.0,0,12000,12000,0,0.0,0.0,39.6
2026,1323825,79829.6,0,12400,12400,0,0.0,0.0,39.6
2027,1343281,105230.20000000001,0,12800,12800,0,0.0,0.0,39.5
2028,1361522,130630.80000000002,0,13200,13200,0,0.0,0.0,39.4
2029,1379770,156031.40000000002,0,13600,13600,0,0.0,0.0,39.3
2030,1393141,181432.0,0,14000,14000,0,0.0,0.0,39.2
