Load Profile, Charger Assignment
Santa Barbara_Residential_L2,Residential L2
Santa Barbara_Residential_MUD,Residential L2
Santa Barbara_Public_L2,Public L2
Santa Barbara_Workplace_L2,Workplace L2
Santa Barbara_Public_DCFC,DCFC
