year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,108273,2517.5851291989925,0,12000,12000,0,5377.16,5377.16,31.0
2020,109703,2856.222078664083,0,12000,12000,0,3840.32,3840.32,32.1
2021,111298,3449.1776629312662,0,12000,12000,0,2741.24,2741.24,33.4
2022,113224,4042.1332471984497,0,12000,12000,0,1642.17,1642.17,34.7
2023,114820,4635.088831465633,0,12000,12000,0,821.08,821.08,36.6
2024,116580,5228.044415732817,0,12000,12000,0,0.0,0.0,37.5
2025,118285,5821.0,0,12000,12000,0,0.0,0.0,39.6
2026,119771,8537.6,0,12400,12400,0,0.0,0.0,39.6
2027,121531,11254.2,0,12800,12800,0,0.0,0.0,39.5
2028,123181,13970.800000000001,0,13200,13200,0,0.0,0.0,39.4
2029,124832,16687.4,0,13600,13600,0,0.0,0.0,39.3
2030,126042,19404.0,0,14000,14000,0,0.0,0.0,39.2
