Year, Ports
2011,0
2012,0
2013,0
2014,1
2015,2
2016,5
2017,10
2018,19
2019,27
2020,36
2021,44
2022,53
2023,62
2024,70
2025,77
2026,84
2027,89
2028,95
2029,102
2030,109
2031,118
2032,126
2033,133
2034,141
2035,148
2036,155
2037,163
2038,170
2039,177
2040,185
