Load Profile, Charger Assignment
LowAdoption_California_Residential L1_uncontrolled_load,Residential L1
LowAdoption_California_Residential L2_uncontrolled_load,Residential L2
LowAdoption_California_Residential MUD_uncontrolled_load,Residential L2
LowAdoption_California_Public L2_uncontrolled_load,Public L2
LowAdoption_California_Work_uncontrolled_load,Workplace L2
LowAdoption_California_Fast_uncontrolled_load,DCFC
