Load Profile, Charger Assignment
BaseCase_El Dorado_Residential L1_e19controlled_load,Residential L1
BaseCase_El Dorado_Residential L2_e19controlled_load,Residential L2
BaseCase_El Dorado_Residential MUD_e19controlled_load,Residential L2
BaseCase_El Dorado_Public L2_e19controlled_load,Public L2
BaseCase_El Dorado_Work_e19controlled_load,Workplace L2
BaseCase_El Dorado_Fast_e19controlled_load,DCFC
