Year, Ports
2011,5
2012,27
2013,55
2014,110
2015,274
2016,549
2017,1098
2018,2196
2019,3129
2020,4121
2021,5122
2022,6123
2023,7183
2024,8066
2025,8949
2026,9656
2027,10303
2028,11010
2029,11775
2030,12540
2031,13685
2032,14534
2033,15384
2034,16233
2035,17083
2036,17932
2037,18781
2038,19631
2039,20480
2040,21329
