year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,1686500,30910.80728119773,0,12000,12000,0,5377.16,5377.16,31.0
2020,1708770,35068.577901068886,0,12000,12000,0,3840.32,3840.32,32.1
2021,1733614,42348.86232085511,0,12000,12000,0,2741.24,2741.24,33.4
2022,1763619,49629.14674064133,0,12000,12000,0,1642.17,1642.17,34.7
2023,1788471,56909.43116042755,0,12000,12000,0,821.08,821.08,36.6
2024,1815889,64189.71558021377,0,12000,12000,0,0.0,0.0,37.5
2025,1842452,71470.0,0,12000,12000,0,0.0,0.0,39.6
2026,1865586,104822.6,0,12400,12400,0,0.0,0.0,39.6
2027,1893005,138175.2,0,12800,12800,0,0.0,0.0,39.5
2028,1918710,171527.80000000002,0,13200,13200,0,0.0,0.0,39.4
2029,1944427,204880.40000000002,0,13600,13600,0,0.0,0.0,39.3
2030,1963269,238233.0,0,14000,14000,0,0.0,0.0,39.2
