Year, Ports
2011,2
2012,11
2013,22
2014,45
2015,112
2016,223
2017,447
2018,893
2019,1273
2020,1676
2021,2083
2022,2491
2023,2922
2024,3281
2025,3640
2026,3927
2027,4191
2028,4478
2029,4790
2030,5101
2031,5566
2032,5912
2033,6257
2034,6603
2035,6948
2036,7294
2037,7639
2038,7985
2039,8330
2040,8676
