year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,696440,37312.67896688807,0,12000,12000,0,5377.16,5377.16,31.0
2020,705637,42331.55663468609,0,12000,12000,0,3840.32,3840.32,32.1
2021,715896,51119.64530774887,0,12000,12000,0,2741.24,2741.24,33.4
2022,728287,59907.73398081165,0,12000,12000,0,1642.17,1642.17,34.7
2023,738550,68695.82265387443,0,12000,12000,0,821.08,821.08,36.6
2024,749872,77483.91132693722,0,12000,12000,0,0.0,0.0,37.5
2025,760841,86272.0,0,12000,12000,0,0.0,0.0,39.6
2026,770394,138035.4,0,12400,12400,0,0.0,0.0,39.6
2027,781717,189798.8,0,12800,12800,0,0.0,0.0,39.5
2028,792332,241562.19999999998,0,13200,13200,0,0.0,0.0,39.4
2029,802952,293325.6,0,13600,13600,0,0.0,0.0,39.3
2030,810732,345089.0,0,14000,14000,0,0.0,0.0,39.2
