year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,139822,2253.3273532256912,0,12000,12000,0,5377.16,5377.16,31.0
2020,141668,2556.419348881613,0,12000,12000,0,3840.32,3840.32,32.1
2021,143728,3087.1354791052904,0,12000,12000,0,2741.24,2741.24,33.4
2022,146215,3617.8516093289677,0,12000,12000,0,1642.17,1642.17,34.7
2023,148276,4148.567739552645,0,12000,12000,0,821.08,821.08,36.6
2024,150549,4679.283869776323,0,12000,12000,0,0.0,0.0,37.5
2025,152751,5210.0,0,12000,12000,0,0.0,0.0,39.6
2026,154669,7641.4,0,12400,12400,0,0.0,0.0,39.6
2027,156942,10072.8,0,12800,12800,0,0.0,0.0,39.5
2028,159074,12504.199999999999,0,13200,13200,0,0.0,0.0,39.4
2029,161206,14935.599999999999,0,13600,13600,0,0.0,0.0,39.3
2030,162768,17367.0,0,14000,14000,0,0.0,0.0,39.2
