Year, Ports
2011,0
2012,2
2013,5
2014,9
2015,23
2016,46
2017,91
2018,182
2019,259
2020,342
2021,425
2022,508
2023,596
2024,669
2025,742
2026,801
2027,854
2028,913
2029,976
2030,1040
2031,1135
2032,1205
2033,1275
2034,1346
2035,1416
2036,1487
2037,1557
2038,1628
2039,1698
2040,1768
