year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,171172,3323.7659711208134,0,12000,12000,0,5377.16,5377.16,31.0
2020,173432,3770.8412084750858,0,12000,12000,0,3840.32,3840.32,32.1
2021,175954,4553.672966780068,0,12000,12000,0,2741.24,2741.24,33.4
2022,178999,5336.504725085051,0,12000,12000,0,1642.17,1642.17,34.7
2023,181522,6119.336483390034,0,12000,12000,0,821.08,821.08,36.6
2024,184305,6902.168241695017,0,12000,12000,0,0.0,0.0,37.5
2025,187001,7685.0,0,12000,12000,0,0.0,0.0,39.6
2026,189349,11271.8,0,12400,12400,0,0.0,0.0,39.6
2027,192132,14858.599999999999,0,12800,12800,0,0.0,0.0,39.5
2028,194741,18445.399999999998,0,13200,13200,0,0.0,0.0,39.4
2029,197351,22032.199999999997,0,13600,13600,0,0.0,0.0,39.3
2030,199263,25619.0,0,14000,14000,0,0.0,0.0,39.2
