Year, Ports
2011,1
2012,3
2013,6
2014,11
2015,28
2016,56
2017,111
2018,223
2019,318
2020,418
2021,520
2022,621
2023,729
2024,819
2025,908
2026,980
2027,1046
2028,1117
2029,1195
2030,1273
2031,1389
2032,1475
2033,1561
2034,1648
2035,1734
2036,1820
2037,1906
2038,1992
2039,2079
2040,2165
