Load Profile, Charger Assignment
BaseCase_Monterey_Residential L1_uncontrolled_load,Residential L1
BaseCase_Monterey_Residential L2_uncontrolled_load,Residential L2
BaseCase_Monterey_Residential MUD_uncontrolled_load,Residential L2
BaseCase_Monterey_Public L2_uncontrolled_load,Public L2
BaseCase_Monterey_Work_uncontrolled_load,Workplace L2
BaseCase_Monterey_Fast_uncontrolled_load,DCFC
