Load Profile, Charger Assignment
FastPublic_San Diego_Residential L1_uncontrolled_load,Residential L1
FastPublic_San Diego_Residential L2_uncontrolled_load,Residential L2
FastPublic_San Diego_Residential MUD_uncontrolled_load,Residential L2
FastPublic_San Diego_Public L2_uncontrolled_load,Public L2
FastPublic_San Diego_Work_uncontrolled_load,Workplace L2
FastPublic_San Diego_Fast_uncontrolled_load,DCFC
