Load Profile, Charger Assignment
Madera_Residential_L2,Residential L2
Madera_Residential_MUD,Residential L2
Madera_Public_L2,Public L2
Madera_Workplace_L2,Workplace L2
Madera_Public_DCFC,DCFC
