,Residential L1,Residential L2,Residential MUD,Work,Public L2,Fast,Total
0,17052.01009872721,103149.32731873787,12253.714200553473,603.7759184028665,460.3275831104903,750.0,134269.1551195319
1,16344.24808653363,92221.78288803772,11325.396655367445,502.4309321997993,383.11750361680083,446.520297791812,121223.4963635472
2,16141.968994785633,85764.47797406749,10808.040679953096,483.3630191437251,339.18701066701465,464.4326266583959,114001.47030527535
3,15943.781986901318,80004.05257007133,10470.125625278608,437.1763248453012,332.9079620388187,300.0,107488.04446913539
4,15736.913460521613,74370.04945741805,9920.241663905788,377.68385665247393,310.1652184255663,403.7767328001769,101118.83038972366
5,15501.730953013213,69430.40925292487,9576.589269022052,375.4714720097166,284.4276354071472,678.0866778928755,95846.71526026988
6,15264.71503974849,63999.21904457052,9212.982031302021,338.49069591524915,267.7312433708463,300.0,89383.13805490712
7,15076.539621170301,59029.37232356936,8826.467666145008,313.1836122704343,257.5907096608756,300.0,83803.15393281599
8,14851.697751994638,54440.51827414965,8330.071349932088,313.47034477604154,270.5999999999999,150.0,78356.35772085241
9,14611.066010829183,50109.308624283105,7847.824463650135,277.30485631523425,279.8201359561132,450.0,73575.32409103378
10,14398.496317200244,46148.12291272071,7267.807775604714,247.48279431599767,235.03779557807903,450.0,68746.94759541976
11,14167.932617034232,43075.69507858675,6726.928082314195,262.84319768697515,216.78975378545562,150.0,64600.188729407615
12,13920.652550296312,39784.972113278374,6249.032933470767,226.6527350572231,192.39709214551954,386.8494451450914,60760.55686939328
13,13689.357777196084,37156.710073502705,5789.481700177196,250.79999999999984,185.21271316012988,150.0,57221.56226403612
14,13546.632768257432,34480.245089888645,5351.013625833247,250.67069778108606,177.08034745937132,300.0,54105.64252921978
15,13371.944893693808,32286.82067076063,4965.711120351503,275.6784401557814,197.9999999999999,369.70650984444325,51467.86163480616
16,13243.62725763146,30240.714748718845,4715.000450346122,315.300916899561,229.1615387890074,600.0,49343.804912385
17,13049.506442680311,28843.019389891793,4361.223520709441,312.449140442563,260.46900265585066,900.0,47726.66749637997
18,12853.409025109919,27641.426609724193,4004.6917593951607,322.9220640364731,289.0026423944301,739.9258484377838,45851.37794909796
19,12747.704067061752,27010.19474124681,3702.2280841994743,397.6720198727662,293.69524831921575,450.0,44601.494160700015
20,12623.531664331813,26299.012286025132,3416.349357375042,579.8757945497002,361.6540231427987,448.67978362567385,43729.102909050154
21,12467.928120569286,25812.700695695283,3225.1979282764687,907.8524680846208,503.7568663626569,1296.8528914579385,44214.28897044625
22,12380.293766208344,25856.810035620976,3041.90927761143,1271.9125719148312,669.0082939007892,667.8232748035173,43887.75722005988
23,12247.704843884583,25366.06098636016,2873.9999999999773,1872.1040103191287,923.0971229342692,1321.5564897506943,44604.52345324881
24,12176.601314413314,24890.55573663073,2773.9385824821397,2677.1120530086896,1043.2993675067885,1508.9834936514176,45070.49054769308
25,12112.535000470572,24474.87848046158,2692.9905147092263,4022.6166113177364,1233.8887381874865,1951.6648101094906,46488.5741552561
26,12005.63004065223,24521.67683518932,2729.9191485500573,6006.055388999229,1451.0166407072525,1686.426194333125,48400.72424843121
27,11962.452830256483,24433.219253281313,2826.6189818960065,8771.181291684328,1719.026191676162,1650.0,51362.49854879428
28,11902.120126915292,24242.413062852957,2986.421231195598,12497.35481355763,2093.2115935720917,1983.5919158178622,55705.112743911435
29,11799.260449428306,24237.448107552813,3088.4233290849106,16902.77742759667,2328.534123265314,1768.2833941473536,60124.72683107536
30,11719.90776727688,24069.415794966095,3235.9377018591467,21799.685433820217,2698.8781933788646,1205.2548803659793,64729.07977166719
31,11628.258393021668,23833.643666820528,3497.976246010238,27808.564843200304,2973.0659112378744,1036.4930902739543,70778.00215056457
32,11559.49990965623,23711.34520519103,3702.1127247826003,33728.534727452934,3315.0719269786255,2651.686151957751,78668.25064601917
33,11511.667916012968,23375.480106680763,3755.46574099575,39937.73586002408,3522.1028323624973,1500.0,83602.45245607605
34,11445.000627543643,22613.922269519047,4190.258650231424,45838.9283178474,3877.457269375961,2078.9880518076943,90044.55518632516
35,11385.90757405195,22948.87542235753,4477.799999999981,51036.5908994015,4153.785813828553,3857.494673937578,97860.45438357709
36,11339.63118849271,22784.040854969655,4772.958028208037,55668.6194610956,4181.317205252535,1967.6928818696922,100714.25961988822
37,11279.690092146708,22995.172885597363,5291.2415201066815,58720.72810596836,4407.623316403268,2246.9379054442115,104941.3938256666
38,11198.676503210663,22911.035588156614,5561.104430185396,60418.44681365826,4431.538597607077,2559.616630518217,107080.41856333624
39,11223.724446646936,22834.1963570068,5790.749218097836,60268.44435527204,4561.985306944019,3040.526031695363,107719.625715663
40,11187.696259855144,22847.00258898067,6090.595150259811,58855.218131265574,4444.983774681358,2896.478080898131,106321.97398594068
41,11204.834287885787,22716.714396901578,6403.516422913998,56541.296827345184,4237.927880944492,3504.146839501377,104608.43665549243
42,11175.959373435986,22944.212156490205,6583.486115081041,53869.33071811854,4066.371230947763,4282.833842260521,102922.19343633404
43,11163.20990454815,23249.003608171202,6991.820517533088,51426.32096723933,3925.324963359327,3068.1652573210795,99823.84521817217
44,11115.693522791169,23010.211288541548,7088.549167953917,48354.31993438731,3795.5845616405104,4127.488570903763,97491.84704621822
45,11101.597417177947,23459.987664952812,7428.670177249159,45657.245807328094,3597.147839352422,3166.424171696419,94411.07307775684
46,11104.522587100935,23998.31586107401,7706.416275976073,43531.299933228525,3573.8900933435107,3749.0964489904836,93663.54119971354
47,11120.819506766062,24345.33556481203,7879.118838654795,41895.95680285845,3420.418742109684,5404.726103113266,94066.37555831428
48,11098.593176744977,24537.151816648733,7990.55592634398,40745.26778541962,3335.453106234284,3997.104754491047,91704.12656588265
49,11090.156323279383,24772.369360184326,7981.352683992977,39969.953115123375,3216.458969716856,4760.632366008988,91790.9228183059
50,11068.949298283364,25274.172991587413,8133.380312988481,39501.39822292389,3267.3073008418405,5878.45012085598,93123.65824748097
51,11076.088485115119,25489.562758786407,8164.979259006361,39255.57502660832,3135.9758869498,3715.2097542956785,90837.3911707617
52,11095.959750306165,26294.781677399456,8064.619998784388,38640.18512875046,3123.133226459914,3895.7565221992186,91114.4363038996
53,11198.227088781,26811.39499132255,7968.660284794823,38344.51884487069,3254.504512617098,4212.651021014255,91789.95674340043
54,11236.678514376032,27335.622626900687,7857.461483247086,37559.86997327138,3140.6569644409537,4090.480305810655,91220.76986804679
55,11302.773261047623,28052.2912892513,7711.705452792198,36436.35239051512,3023.3017987577696,3016.9277648852153,89543.35195724922
56,11398.593408521287,28242.20561879516,7685.539435525043,34923.29516367644,2952.635296955688,5069.823277906194,90272.09220137981
57,11440.341245223306,28975.90038513087,7557.101427783402,32744.5906972354,2789.6615589964454,4155.626853482494,87663.22216785191
58,11511.421035604628,29018.403320611003,7723.288579201409,30487.918642614775,2656.0750640506285,4375.097721711186,85772.20436379363
59,11549.937014466963,30341.95610206074,7743.341070217694,28069.329980318587,2546.51762990955,4168.450695276849,84419.53249225036
60,11599.260623719954,30656.50656257112,7773.047310899196,25634.121958532698,2246.48882960807,3689.058288457478,81598.48357378853
61,11661.843897362307,31196.886990571016,8031.638006968204,23221.75526212901,2161.9974504176653,4854.193890123783,81128.315497572
62,11740.221322961122,32633.278721790186,8490.517310804644,21166.668686621044,2092.2863248043122,4672.129634115336,80795.10200109665
63,11824.549811808627,33308.31101569298,8879.328025394741,19014.738531328392,2037.1590800657218,4525.376565235904,79589.46302952636
