Year, Ports
2011,100
2012,500
2013,1000
2014,2000
2015,5000
2016,10000
2017,20000
2018,40000
2019,57000
2020,75072
2021,93303
2022,111535
2023,130839
2024,146926
2025,163013
2026,175882
2027,187679
2028,200549
2029,214491
2030,228432
2031,249280
2032,264752
2033,280224
2034,295696
2035,311168
2036,326639
2037,342111
2038,357583
2039,373055
2040,388527
