Year, Ports
2011,0
2012,1
2013,2
2014,3
2015,8
2016,16
2017,33
2018,65
2019,93
2020,122
2021,152
2022,182
2023,213
2024,239
2025,265
2026,286
2027,305
2028,326
2029,349
2030,372
2031,406
2032,431
2033,456
2034,481
2035,506
2036,532
2037,557
2038,582
2039,607
2040,632
